zips	lat	long	city	stateshort	state	county
33583	27.871964	-82.438841	Seffner	FL	Florida	Hillsborough
33586	27.871964	-82.438841	Sun City	FL	Florida	Hillsborough
33592	28.092775	-82.278977	Thonotosassa	FL	Florida	Hillsborough
33594	27.937779	-82.347371	Valrico	FL	Florida	Hillsborough
33598	27.733830	-82.297468	Wimauma	FL	Florida	Hillsborough
33601	27.996097	-82.582035	Tampa	FL	Florida	Hillsborough
33755	27.978147	-82.781523	Clearwater	FL	Florida	Pinellas
33767	27.959847	-82.828625	Clearwater Beach	FL	Florida	Pinellas
33770	27.916998	-82.802668	Largo	FL	Florida	Pinellas
33772	27.846601	-82.795385	Seminole	FL	Florida	Pinellas
33780	27.891809	-82.724763	Pinellas Park	FL	Florida	Pinellas
33785	27.886757	-82.843525	Indian Rocks Beach	FL	Florida	Pinellas
33801	28.059997	-81.956122	Lakeland	FL	Florida	Polk
33823	28.086751	-81.742864	Auburndale	FL	Florida	Polk
33825	27.473059	-81.464053	Avon Park	FL	Florida	Highlands
33830	27.918445	-81.790794	Bartow	FL	Florida	Polk
33836	28.167211	-81.631589	Davenport	FL	Florida	Polk
33838	28.009099	-81.677776	Dundee	FL	Florida	Polk
33839	28.005662	-81.702448	Eagle Lake	FL	Florida	Polk
33843	27.729380	-81.559340	Frostproof	FL	Florida	Polk
33844	28.075834	-81.592933	Haines City	FL	Florida	Polk
33852	27.336002	-81.366280	Lake Placid	FL	Florida	Highlands
33853	27.991865	-81.480831	Lake Wales	FL	Florida	Polk
33860	27.844612	-81.835864	Mulberry	FL	Florida	Polk
33868	28.036680	-81.760824	Polk City	FL	Florida	Polk
33870	27.457947	-81.373012	Sebring	FL	Florida	Highlands
33873	27.518602	-81.784123	Wauchula	FL	Florida	Hardee
33880	27.987284	-81.762456	Winter Haven	FL	Florida	Polk
33903	26.693048	-81.912454	North Fort Myers	FL	Florida	Lee
33904	26.606491	-81.950160	Cape Coral	FL	Florida	Lee
33921	26.754493	-82.261149	Boca Grande	FL	Florida	Lee
33927	26.901981	-82.000005	El Jobean	FL	Florida	Charlotte
33928	26.472274	-81.705902	Estero	FL	Florida	Lee
33935	26.690881	-81.448873	Labelle	FL	Florida	Hendry
33936	26.593573	-81.661922	Lehigh Acres	FL	Florida	Lee
33946	26.879424	-82.266405	Placida	FL	Florida	Charlotte
33948	26.940990	-82.206880	Port Charlotte	FL	Florida	Charlotte
33957	26.458308	-82.100065	Sanibel	FL	Florida	Lee
33960	27.120281	-81.390945	Venus	FL	Florida	Highlands
34101	25.855534	-81.387190	Naples	FL	Florida	Collier
34133	26.552895	-81.948610	Bonita Springs	FL	Florida	Lee
34142	26.184370	-81.415175	Immokalee	FL	Florida	Collier
34145	25.938768	-81.696751	Marco Island	FL	Florida	Collier
34201	27.404731	-82.470456	Bradenton	FL	Florida	Manatee
34216	27.529113	-82.731722	Anna Maria	FL	Florida	Manatee
34220	27.427213	-82.438689	Palmetto	FL	Florida	Manatee
34222	27.546332	-82.496732	Ellenton	FL	Florida	Manatee
34223	27.143931	-82.404959	Englewood	FL	Florida	Sarasota
34228	27.357231	-82.443071	Longboat Key	FL	Florida	Manatee
34229	27.213378	-82.488818	Osprey	FL	Florida	Sarasota
34230	27.335023	-82.537169	Sarasota	FL	Florida	Sarasota
34251	27.372771	-82.225911	Myakka City	FL	Florida	Manatee
34265	27.186146	-81.809939	Arcadia	FL	Florida	De Soto
34274	27.144031	-82.464468	Nokomis	FL	Florida	Sarasota
34284	27.167521	-82.380967	Venice	FL	Florida	Sarasota
34286	27.074755	-82.175602	North Port	FL	Florida	Sarasota
34420	29.101476	-82.044371	Belleview	FL	Florida	Marion
34423	28.867027	-82.572703	Crystal River	FL	Florida	Citrus
34442	28.922317	-82.390044	Hernando	FL	Florida	Citrus
34446	28.750800	-82.513889	Homosassa	FL	Florida	Citrus
34447	28.804911	-82.574264	Homosassa Springs	FL	Florida	Citrus
34450	28.834011	-82.282224	Inverness	FL	Florida	Citrus
34460	28.859286	-82.508694	Lecanto	FL	Florida	Citrus
34470	29.238672	-82.169401	Ocala	FL	Florida	Marion
34488	29.263549	-81.953160	Silver Springs	FL	Florida	Marion
34601	28.586197	-82.395858	Brooksville	FL	Florida	Hernando
34606	28.496411	-82.401010	Spring Hill	FL	Florida	Hernando
34639	28.250774	-82.462630	Land O Lakes	FL	Florida	Pasco
34652	28.239369	-82.736882	New Port Richey	FL	Florida	Pasco
34660	28.067043	-82.778424	Ozona	FL	Florida	Pinellas
34667	28.382489	-82.648030	Hudson	FL	Florida	Pasco
34668	28.297976	-82.704101	Port Richey	FL	Florida	Pasco
34677	28.050324	-82.677379	Oldsmar	FL	Florida	Pinellas
34680	28.324796	-82.481766	Elfers	FL	Florida	Pasco
34681	28.087401	-82.777683	Crystal Beach	FL	Florida	Pinellas
34682	27.891809	-82.724763	Palm Harbor	FL	Florida	Pinellas
34688	27.891809	-82.724763	Tarpon Springs	FL	Florida	Pinellas
34690	28.191434	-82.724448	Holiday	FL	Florida	Pasco
34695	28.017645	-82.747692	Safety Harbor	FL	Florida	Pinellas
34697	27.891809	-82.724763	Dunedin	FL	Florida	Pinellas
34711	28.584025	-81.779423	Clermont	FL	Florida	Lake
34731	28.863361	-81.905624	Fruitland Park	FL	Florida	Lake
34736	28.587996	-81.870269	Groveland	FL	Florida	Lake
34739	27.933215	-81.092447	Kenansville	FL	Florida	Osceola
34741	28.307138	-81.461385	Kissimmee	FL	Florida	Osceola
34748	28.758895	-81.888695	Leesburg	FL	Florida	Lake
34755	28.578234	-81.831883	Minneola	FL	Florida	Lake
34756	28.581499	-81.685146	Montverde	FL	Florida	Lake
34761	28.569438	-81.530251	Ocoee	FL	Florida	Orange
34762	28.747510	-81.895885	Okahumpka	FL	Florida	Lake
34777	28.541579	-81.605846	Winter Garden	FL	Florida	Orange
34785	28.844473	-82.078342	Wildwood	FL	Florida	Sumter
34786	28.481031	-81.543979	Windermere	FL	Florida	Orange
34952	27.312492	-80.313322	Port Saint Lucie	FL	Florida	Saint Lucie
34956	27.106451	-80.451920	Indiantown	FL	Florida	Martin
34957	27.236473	-80.237943	Jensen Beach	FL	Florida	Martin
34972	27.420316	-80.945361	Okeechobee	FL	Florida	Okeechobee
34990	27.111235	-80.419042	Palm City	FL	Florida	Martin
34994	27.189748	-80.254768	Stuart	FL	Florida	Martin
